,City,Lat,Lng,Max Temp,Humidity,Cloudliness,Wind Speed,Country,Date
0,Albany,-64.72471475314151,107.20771492974143,8.71,93.0,100.0,21.54,AU,1650969044.0
1,Progreso,24.64122700974316,-90.52399211453631,77.45,84.0,0.0,14.61,MX,1650907845.0
2,Comodoro rivadavia,-44.148168099293855,-67.63834851281007,54.5,41.0,100.0,20.45,AR,1650918646.0
3,Luderitz,-31.31789476539067,0.7582800038504729,65.55,67.0,100.0,14.9,NA,1650929446.0
4,Yangambi,-0.07105425865209725,23.78976263888427,69.53,99.0,88.0,2.04,CD,1650936647.0
5,Barrow,82.69140539291638,-155.2200564911624,3.43,91.0,70.0,5.66,US,1650893448.0
6,Amderma,73.97461239414369,60.00951195974264,2.25,86.0,97.0,2.26,RU,1650943848.0
7,Tigre,10.768337928304163,-78.31002730102792,81.91,78.0,87.0,3.44,PA,1650911449.0
8,Beroroha,-21.2695587314672,44.26383347056162,73.9,87.0,86.0,4.21,MG,1650940250.0
9,Yellowknife,76.59961794160228,-99.95624980428046,7.93,82.0,94.0,7.16,CA,1650911450.0
10,Ussel,45.78878593324444,2.5953033100000766,45.82,98.0,51.0,3.42,FR,1650936651.0
11,Zlatoust,54.81305794266521,59.47407027699805,42.98,89.0,100.0,4.63,RU,1650947452.0
12,Ushuaia,-68.28543969303561,-30.569337081935515,15.94,100.0,99.0,3.27,AR,1650922253.0
13,Saint george,30.23540402442795,-46.92172076871026,66.85,70.0,97.0,20.87,BM,1650918653.0
14,Punta arenas,-52.75483272606638,-80.82891622700512,39.4,59.0,100.0,30.85,CL,1650911454.0
15,Boende,-1.8669585608911348,20.66170316793199,70.27,98.0,100.0,0.81,CD,1650933055.0
16,Englewood,26.032704080510968,-83.23955822008907,76.1,80.0,0.0,7.02,US,1650915055.0
17,Illoqqortoormiut,88.61207349861371,-35.82183398369975,-7.31,100.0,89.0,7.65,GL,1650922256.0
18,Mahon,39.52247963973326,3.813982960562271,60.35,75.0,6.0,4.68,ES,1650936657.0
19,Bluff,-60.162121919913716,170.33102280752848,25.52,78.0,100.0,32.48,NZ,1650969057.0
20,Camacha,33.33494473084498,-15.928846843002077,61.88,71.0,20.0,14.16,PT,1650933058.0
21,Rikitea,-67.19886837608755,-118.47024257920015,32.36,94.0,100.0,30.58,PF,1650900659.0
22,Carroll,42.36965657469506,-94.71569418379863,46.26,42.0,99.0,13.91,US,1650911459.0
23,Port lincoln,-36.87784828869643,135.96982054586192,63.99,86.0,26.0,16.37,AU,1650963660.0
